date,dataset_group,dataset_split,protocol,experiment,stage,detector,status,outcome,best_epoch,best_map,best_ap50,final_epoch,final_map,final_ap50,n_replicas,source_file,work_dir,notes
2026-05-22,,test,experiment note,20260522_dota_v1_baseline_server_progress,S0 detector,,blocked,active_then_stopped,,,,,,,,docs/experiments/20260522_dota_v1_baseline_server_progress.md,,# Experiment: dota_v1_baseline_server_progress
2026-05-23,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260523_dota_v15_baseline_server_followup,S0 detector,,invalid,zero_validation,,,,,,,,docs/experiments/20260523_dota_v15_baseline_server_followup.md,,# Experiment: dota_v15_baseline_server_followup
2026-05-24,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260524_dota_v15_anchor_repair_quick_test,S0 detector,,diagnostic,not_paper_evidence,,,,,,,,docs/experiments/20260524_dota_v15_anchor_repair_quick_test.md,,# Experiment: dota_v15_anchor_repair_quick_test
2026-05-25,DOTA v1.5,DOTA v1.5 reduced tiled split/val,,20260525_redet_scratch_dota15_metrics,,ReDet,completed,positive,12,0.1221,0.1220,12,0.1221,0.1220,,docs/experiments/20260525_redet_scratch_dota15_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/strong_baseline_dota15/redet_scratch_rerun,"Backbone init_cfg was cleared because the expected ReResNet pretrained checkpoint was missing.; Startup log showed an initial grad_norm nan at iter 50, but later training metrics stayed finite.; Rerun should be repeated "
2026-05-25,DOTA v1.5,DOTA v1.5 reduced tiled split/val,,20260525_roi_transformer_dota15_metrics,,RoI Transformer,completed,archive_only,10,0.2485,0.2480,11,0.2436,0.2440,,docs/experiments/20260525_roi_transformer_dota15_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/strong_baseline_dota15/roi_trans_lr001_rerun,This 1x low-LR rerun record is retained for troubleshooting history.; Use the completed RoI Transformer 3x epoch-34 record for paper-facing S0.; Earlier note about epoch_12.pth absence was resolved later; the 3x continua
2026-05-25,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260525_s0_artifact_archive,S0,,invalid,nan_loss,,,,,,,,docs/experiments/20260525_s0_artifact_archive.md,/data5/2025/ldh/OpenRSD/work_dirs/strong_baseline_dota15/,# S0 Artifact Archive: DOTA v1.5 Strong Baselines
2026-05-25,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260525_strong_detector_midrun_records,S0,,completed,positive,,,,,,,,docs/experiments/20260525_strong_detector_midrun_records.md,/data5/2025/ldh/OpenRSD/work_dirs/strong_baseline_dota15/roi_trans_lr001_rerun/,# Strong Detector Mid-Run Records
2026-05-25,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260525_strong_detector_run_summary,S0,,invalid,nan_loss,,,,,,,,docs/experiments/20260525_strong_detector_run_summary.md,/data5/2025/ldh/OpenRSD/work_dirs/strong_baseline_dota15/roi_trans_lr001_3x/epoch_34.pth,# Strong Detector Run Summary: DOTA v1.5 S0
2026-05-25,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,20260525_strong_detector_sweep,S0,,invalid,nan_loss,,,,,,,,docs/experiments/20260525_strong_detector_sweep.md,/data5/2025/ldh/OpenRSD/work_dirs/strong_baseline_dota15/oriented_rcnn/epoch_12.pth,# Experiment: strong_detector_sweep
2026-05-25,DOTA v1.5,DOTA v1.5 reduced tiled split/val,experiment note,RoI Transformer early lr0.005 run,S0 detector,RoI Transformer,invalid,nan_loss,,,,,,,,docs/experiments/20260525_strong_detector_sweep.md,/data5/2025/ldh/OpenRSD/work_dirs/strong_baseline_dota15/roi_trans_lr001_rerun,Earlier LR 0.005 run diverged to NaN and was replaced by lower-LR runs.
2026-05-25,DOTA v1.5,val,"MMRotate DOTAMetric mAP, IoU 0.5",strong_detector_sweep,S0 detector,Oriented R-CNN,invalid,nan_loss,,0.2561,0.2560,12,,,,docs/experiments/20260525_oriented_rcnn_dota15_epoch12_metrics.json,/data5/2025/ldh/OpenRSD/work_dirs/strong_baseline_dota15/oriented_rcnn,"Initial near-zero validation was caused by validation pipeline order, not detector collapse.; RoI Transformer previous run diverged to NaN at lr=0.005; wrapper lr lowered to 0.001 but not rerun yet.; ReDet epoch-1 scratc"
2026-05-26,DOTA v1.5,DOTA v1.5 reduced tiled split/val,,20260526_dota15_geonexus_remoteclip_scaffold_metrics,,,diagnostic,not_paper_evidence,,,,10,,,,docs/experiments/20260526_dota15_geonexus_remoteclip_scaffold_metrics.json,/data5/2025/ldh/New/outputs/dota_v15_geonexus,scaffold training did not complete all 12 epochs; metrics reached epoch 10 and the log later reached epoch 11 before the screen/session died. positive_cls_acc is unstable and never recovered the epoch-1 value; log also c
2026-05-26,DOTA v1.5,DOTA v1.5 reduced tiled split/val,,redet_pretrained_dota15_rerun,,ReDet,completed,positive,12,0.2382,0.2380,12,0.2382,0.2380,,docs/experiments/20260525_redet_pretrained_dota15_launch.json,/data5/2025/ldh/OpenRSD/work_dirs/strong_baseline_dota15/redet_pretrained_rerun,Validation pipeline inherits the corrected resize-before-LoadAnnotations order from the DOTA v1.5 ReDet override.; Startup loaded the ReResNet-50 checkpoint from the user-staged Supplements directory.; Observed one initi
